command,code
set up new integer,integer a
set up new integer called x,integer x
set up new text called x,text x
declare number b,number b
declare number m,number m
declare integer c,integer c
declare integer m,integer m
set up new integer,integer a
set up new integer,integer b
set up new string,text a
set up new string,text b
set up new text,text a
set up new text,text b
set up new number,number a
set up new number,number b
set up new boolean,boolean a
set up new boolean,boolean b
create new integer,integer a
create new integer,integer b
create new string,text a
create new string,text b
create new text,text a
create new text,text b
create new number,number a
create new number,number b
create new boolean,boolean a
create new boolean,boolean b
declare variable with type string ,text a
declare variable with type string ,text b
declare variable with type text ,text a
declare variable with type text ,text b
declare variable with type integer ,integer a
declare variable with type integer ,integer b
declare variable with type number ,number a
declare variable with type number ,number b
declare variable with type boolean ,boolean a
declare variable with type boolean ,boolean b
declare a string variable named x,text x
declare a string variable named y,text y
declare a text variable named x,text x
declare a text variable named y,text y
declare an integer variable named x,integer x
declare an integer variable named y,integer y
declare a number variable named x,number x
declare a number variable named y,number y
declare a boolean variable named x,boolean x
declare a boolean variable named y,boolean y
declare a variable called x with type string,text x
declare a variable called y with type string,text y
declare a variable called x with type text,text x
declare a variable called y with type text,text y
declare a variable called x with type integer,integer x
declare a variable called y with type integer,integer y
declare a variable called x with type number,number x
declare a variable called y with type number,number y
declare a variable called x with type boolean,boolean x
declare a variable called y with type boolean,boolean y
declare string type variable x,text x
declare string type variable y,text y
declare text type variable x,text x
declare text type variable y,text y
declare integer type variable count,integer count
declare integer type variable age,integer age
declare number type variable x,number x
declare number type variable y,number y
declare boolean type variable x,boolean x
initiate number x with value one,number x = 1.0
initiate number x with value two,number x = 2.0
initiate number x with value three,number x = 3.0
initiate number x with value four,number x = 4.0
initiate number x with value five,number x = 5.0
initiate number x with value six,number x = 6.0
initiate number x with value seven,number x = 7.0
initiate number x with value eight,number x = 8.0
initiate number x with value nine,number x = 9.0
initiate number x with value ten,number x = 10.0
initiate number x with value eleven,number x = 11.0
initiate number x with value twelve,number x = 12.0
initiate number x with value thirteen,number x = 13.0
initiate number x with value fourteen,number x = 14.0
initiate number x with value fifteen,number x = 15.0
initiate number x with value sixteen,number x = 16.0
initiate number x with value seventeen,number x = 17.0
initiate number x with value eighteen,number x = 18.0
initiate number x with value nineteen,number x = 19.0
initiate number x with value twenty,number x = 20.0
initiate number y with value one,number y = 1.0
initiate number y with value two,number y = 2.0
initiate number y with value three,number y = 3.0
initiate number y with value four,number y = 4.0
initiate number y with value five,number y = 5.0
initiate number y with value six,number y = 6.0
initiate number y with value seven,number y = 7.0
initiate number y with value eight,number y = 8.0
initiate number y with value nine,number y = 9.0
output variable hello world,output hello_world
output variable good luck,output good_luck
output variable x y,output x_y
output variable text hello world,output hello_world
output variable text good luck,output good_luck
output variable text x y,output x_y
output variable text all is well,output all_is_well
output variable string x y,output x_y
print variable string name,output name
output variable name,output name
print  text name,"output ""name"""
print  string name,"output ""name"""
print variable text dog,output dog
print variable string dog,output dog
output  dog,"output ""dog"""
output  text dog,"output ""dog"""
print variable string hello world,output hello_world
output variable hello world,output hello_world
output variable text hello world,output hello_world
